1.54636:0.65625
1.54636:0.640625
1.54636:0.640625
1.51511:0.6875
1.51511:0.65625
1.51511:0.640625
1.51511:0.640625
1.48386:0.65625
1.51511:0.65625
1.48386:0.640625
1.48386:0.65625
1.45261:0.640625
1.48386:0.65625
1.45261:0.640625
1.42136:0.65625
1.45261:0.640625
1.45261:0.65625
1.42136:0.640625
1.42136:0.65625
1.39011:0.640625
1.42136:0.65625
1.39011:0.640625
1.39011:0.640625
1.45261:0.65625
1.45261:0.640625
1.35886:0.671875
1.39011:0.640625
1.35886:0.65625
1.39011:0.640625
1.32761:0.65625
1.39011:0.65625
1.32761:0.640625
1.32761:0.640625
1.39011:0.65625
1.35886:0.640625
1.29636:0.65625
1.32761:0.640625
1.29636:0.65625
1.32761:0.671875
1.26511:0.640625
1.29636:0.65625
1.26511:0.640625
1.29636:0.640625
1.26511:0.65625
1.29636:0.65625
1.26511:0.640625
1.23386:0.640625
1.29636:0.65625
1.26511:0.65625
1.23386:0.640625
1.23386:0.65625
1.20261:0.640625
1.20261:0.65625
1.23386:0.640625
1.20261:0.65625
1.20261:625
1.20261:0.65625
1.17136:0.640625
1.17136:0.65625
1.17136:0.640625
1.17136:0.640625
1.17136:0.671875
1.14011:0.65625
1.14011:0.640625
1.14011:0.65625
1.10886:0.640625
1.14011:0.640625
1.10886:0.640625
1.14011:0.640625
1.07761:0.65625
1.10886:0.640625
1.07761:0.640625
1.07761:0.640625
1.07761:0.640625
1.07761:0.640625
1.04636:0.640625
1.04636:625
1.04636:0.65625
0.98386:0.640625
1.04636:0.640625
1.04636:0.640625
1.01511:0.65625
1.01511:0.640625
1.01511:0.640625
1.01511:0.640625
0.98386:0.640625
0.98386:0.640625
0.98386:0.640625
0.98386:0.640625
0.95261:625
0.95261:0.640625
0.95261:0.640625
0.95261:0.640625
0.95261:0.671875
0.92136:0.640625
0.95261:0.640625
0.92136:0.640625
0.92136:0.640625
0.92136:0.640625
0.92136:0.65625
0.89011:0.640625
0.92136:0.640625
0.85886:0.65625
0.92136:625
0.89011:0.640625
0.85886:625
0.85886:0.640625
0.82761:0.640625
