1.57761::0.8125
1.51511::0.796875
1.54636::0.796875
1.51511::0.84375
1.51511::0.796875
1.51511::0.828125
1.51511::0.8125
1.48386::0.796875
1.48386::0.8125
1.45261::0.796875
1.45261::0.8125
1.48386::0.796875
1.45261::0.796875
1.48386::0.828125
1.45261::0.8125
1.45261::0.796875
1.42136::0.8125
1.45261::0.796875
1.42136::0.8125
1.39011::0.796875
1.39011::0.8125
1.42136::0.796875
1.39011::0.8125
1.42136::0.8125
1.39011::0.8125
1.39011::0.796875
1.35886::0.8125
1.39011::0.796875
1.35886::0.84375
1.35886::0.796875
1.35886::0.8125
1.32761::0.796875
1.35886::0.8125
1.32761::0.796875
1.35886::0.796875
1.29636::0.8125
1.35886::0.8125
1.29636::0.796875
1.32761::0.8125
1.29636::0.796875
1.29636::0.8125
1.26511::0.796875
1.32761::0.8125
1.23386::0.796875
1.26511::0.8125
1.29636::0.796875
1.26511::0.8125
1.23386::0.796875
1.23386::0.796875
1.23386::0.8125
1.20261::0.8125
1.23386::0.796875
1.20261::0.8125
1.23386::0.796875
1.17136::0.796875
1.20261::0.8125
1.17136::0.78125
1.20261::0.8125
1.14011::0.8125
1.20261::0.8125
1.14011::0.859375
1.17136::0.796875
1.14011::0.796875
1.10886::0.8125
1.10886::0.796875
1.14011::0.8125
1.14011::0.8125
1.10886::0.8125
1.10886::0.796875
1.07761::0.8125
1.07761::0.796875
1.10886::0.796875
1.07761::0.8125
1.04636::0.796875
1.04636::0.8125
1.07761::0.796875
1.04636::0.8125
1.04636::0.796875
1.04636::0.8125
1.01511::0.796875
1.01511::0.8125
1.04636::0.796875
0.98386::0.796875
1.01511::0.796875
0.98386::0.8125
1.01511::0.796875
0.98386::0.796875
0.98386::0.796875
0.95261::0.8125
0.98386::0.796875
0.95261::0.8125
0.92136::0.78125
0.95261::0.765625
0.92136::0.796875
0.95261::0.8125
0.92136::0.796875
0.92136::0.796875
0.89011::0.796875
0.92136::0.796875
0.89011::0.796875
0.89011::0.765625
0.92136::0.796875
0.89011::0.796875
0.85886::0.796875
0.85886::0.796875
0.89011::0.796875
0.85886::0.796875
0.82761::0.796875
0.82761::0.78125
0.85886::0.796875
0.82761::0.796875
0.82761::0.8125
0.82761::0.796875
0.79636::0.796875
0.82761::0.796875
0.79636::0.78125
0.79636::0.796875
0.79636::0.78125
0.76511::0.8125
0.79636::0.78125
0.76511::0.78125
0.79636::0.796875
0.76511::0.78125
0.73386::0.796875
0.73386::0.796875
0.70261::0.78125
0.70261::0.8125
0.73386::0.78125
0.70261::0.796875
0.70261::0.78125
0.67136::0.796875
0.73386::0.78125
0.67136::0.796875
0.67136::0.796875
0.64011::0.796875
0.67136::0.78125
0.67136::0.796875
0.60886::0.78125
0.64011::0.796875
0.60886::0.78125
0.60886::0.796875
0.60886::0.796875
0.60886::0.796875
0.57761::0.78125
