"Peak_Label","Weighted_Mean_Theta","Error_Weighted_Mean_Theta"
,,
" 38.71","19.3294713868471","0.000273181732497721"
" 55.67","27.8740158904789","0.00159085681107323"
" 69.83","34.9156520197867","0.00360221870281946"
" 82.68","41.3320096007273","0.00148337753728972"
" 95.01","47.579759793284","0.00216706932882703"
" 107.88","53.9460550364785","0.00609986797207662"
" 121.60","60.8865172937281","0.0378526684842481"
"42.90","21.45","0.0378526684842481"
" 27.13","13.572423495349","0.00370518821620073"
