"Peak_Label"," Weighted_Mean_Theta"," Error_Weighted_Mean_Theta"
" 21.63","10.8119670961605","0.00040575071405301"
" 30.61","15.371668321034","0.000510959572409153"
" 37.83","18.9262785697982","0.00133313777025046"
" 43.97","21.9848193430074","0.00173481444091416"
" 49.49","24.7382578313377","0.00149453627347331"
" 54.58","27.2840505671214","0.00122868278179299"
" 63.83","31.9381300742332","0.00180219541711439"
" 68.20","34.1283593805826","0.00250428713547775"
" 72.45","36.2478924722979","0.00158679716479843"
" 76.59","38.3259286894873","0.00404422829558551"
" 80.66","40.3910592662909","0.00339484961019296"
" 84.71","42.376006081991","0.00340645809512298"
" 88.72","44.384405063379","0.00343848320051091"
" 96.71","48.3660127898408","0.00552112579073155"
" 100.75","50.4107478489924","0.00599428720678808"
" 104.84","52.4973891383277","0.00439188160529434"
